Model,Branch length,Median,Type
02-SEQ_GEN_CHANG/01-DAYHOFF,1,0,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,2,0,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,3,0,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,4,0,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,5,0,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,6,2,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,7,2,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,8,2,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,9,2,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,10,4,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,11,4,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,12,6,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,13,6,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,14,6,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,15,8,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,16,8,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,17,10,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,18,10,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,19,10,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,20,12,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,1,0,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,2,0,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,3,0,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,4,0,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,5,2,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,6,2,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,7,2,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,8,2,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,9,2,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,10,4,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,11,4,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,12,6,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,13,6,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,14,8,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,15,8,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,16,10,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,17,10,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,18,12,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,19,12,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,20,12,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,2.6,0,Non-recoded
