Amino acid columns,inflation parameter,type,proportion
"1,000",0.1,Dayhoff-6 Recoded,0.367
"1,000",0.1,Dayhoff,0.143
"1,000",0.5,Dayhoff-6 Recoded,0.354
"1,000",0.5,Dayhoff,0.156
"1,000",0.9,Dayhoff-6 Recoded,0.392
"1,000",0.9,Dayhoff,0.275
"2,000",0.1,Dayhoff-6 Recoded,0.159
"2,000",0.1,Dayhoff,0.025
"2,000",0.5,Dayhoff-6 Recoded,0.141
"2,000",0.5,Dayhoff,0.031
"2,000",0.9,Dayhoff-6 Recoded,0.159
"2,000",0.9,Dayhoff,0.135
"3,000",0.1,Dayhoff-6 Recoded,0.062
"3,000",0.1,Dayhoff,0.002
"3,000",0.5,Dayhoff-6 Recoded,0.065
"3,000",0.5,Dayhoff,0.011
"3,000",0.9,Dayhoff-6 Recoded,0.069
"3,000",0.9,Dayhoff,0.097
"4,000",0.1,Dayhoff-6 Recoded,0.028
"4,000",0.1,Dayhoff,0
"4,000",0.5,Dayhoff-6 Recoded,0.026
"4,000",0.5,Dayhoff,0.003
"4,000",0.9,Dayhoff-6 Recoded,0.034
"4,000",0.9,Dayhoff,0.049
"5,000",0.1,Dayhoff-6 Recoded,0.013
"5,000",0.1,Dayhoff,0
"5,000",0.5,Dayhoff-6 Recoded,0.017
"5,000",0.5,Dayhoff,0.001
"5,000",0.9,Dayhoff-6 Recoded,0.014
"5,000",0.9,Dayhoff,0.035
